id	Total
LF808489.CDS.1	5.294919
UY37981324.CDS.1	5.279049000000001
E15922.CDS.2	5.201149
KI133588.CDS.2	5.176149
JB80314549.CDS.3	5.146801
J21782.CDS.3	5.132851
F38888.CDS.1	5.101997000000001
HD25632497.CDS.1	5.100983000000001
TF58157495	4.990356
PA237885.CDS.1	4.987901
IW38005607.CDS.2	1.0060339999999999
GB94053773.CDS.2	0.9803729999999999
IE553374.CDS.1	0.9396490000000001
LL231571.CDS.2	0.898605
UG92888132	0.850166
BQ99602892.CDS.1	0.8477869999999998
QS900083.CDS.1	0.8359449999999999
KP22241601.CDS.2	0.822898
BE618688.CDS.1	0.8198440000000001
ND80117744.CDS.1	0.7795259999999999
